label,text
0,회의는 오후 3시에 시작합니다.
0,오늘도 좋은 하루 되세요!
0,내일 점심은 어디서 먹을까요?
0,자료는 이메일로 전달드렸습니다.
0,오늘은 날씨가 맑네요.
0,출근길 조심하세요.
0,수고 많으셨습니다.
0,다음 주 일정 다시 공유드립니다.
0,메일 확인 부탁드립니다.
0,담당자에게 전달했습니다.
0,통화 가능하신가요?
0,오늘 회의 안건입니다.
0,문서 수정해서 다시 보냈습니다.
0,점심식사는 하셨나요?
0,사진 잘 받았습니다.
0,회의실 예약 완료했습니다.
0,확인 후 연락주세요.
0,작업은 완료된 상태입니다.
0,지금 회의 중입니다.
0,오늘도 고생 많으셨습니다.
0,문서 검토 부탁드립니다.
0,담당자 메일로 전송했습니다.
0,내일은 재택근무 예정입니다.
0,공유드린 링크 확인 바랍니다.
0,파일은 첨부했습니다.
0,회의록 공유드립니다.
0,시스템 점검 예정입니다.
0,이메일 회신 부탁드립니다.
0,전달사항 정리해서 공유드릴게요.
0,프로젝트 계획안입니다.
0,정기 회의 일정입니다.
0,요청하신 자료입니다.
0,주말 잘 보내세요!
0,로그인 후 확인해주세요.
0,테스트 완료했습니다.
0,배포는 내일 예정입니다.
0,회의실 위치는 3층입니다.
0,확인 감사합니다.
0,문서에 코멘트 남겼습니다.
0,다음 일정은 별도로 안내드릴게요.
0,일정 확인 부탁드립니다.
0,전달 완료했습니다.
0,검토 부탁드립니다.
0,다음 작업은 오후에 진행할게요.
0,회의 자료 준비됐습니다.
0,오늘 일정은 끝났습니다.
0,재확인 부탁드립니다.
0,첨부파일 확인 부탁드립니다.
0,업데이트 완료했습니다.
0,진행사항 보고드립니다.
1,엄마 나 폰이 망가져서 수리맡기고 컴퓨터 문자나라로 메시지 보내고 있어 엄마 지금 바뻐?
1,엄마 입금받을수있는 은행계좌번호 하나랑 계좌등록 본인인증땜에 계좌 4자리 비밀번호까지 보내줘
1,엄마 바빠?나지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놧던 문자나라로 문자하고 있어 피씨용이라 문자만 가능해 부탁이 있어서 문자했어 엄마 확인하는대로 답장줘
1,[Web발신] ㈜카카오페이 승인번호 607488 868.000원 결제완료 되었습니다. 070-8064-1374㈜카카오페이
1,보안 점검을 위해 로그인해주세요.
1,소중한 고객님 상품이 도착했습니다.
1,혜택이 곧 만료됩니다. 지금 확인!
1,[대한통운](알림문자)07/21배송예정물품주소확인바랍니다:▶ bit.ly/3zg0oz9
1,무료 영화 이용권 받기 클릭!
1,계정 비정상 로그인 발생!
1,세금 환급 대상자입니다.
1,토스 인증 완료해주세요.
1,OO은행 보안센터입니다. 즉시 확인 요망!
1,네이버 로그인 오류 발생!
1,경고: 계정 정지 예정
1,해외 로그인 탐지됨
1,비밀번호 변경 알림
1,본인 확인 후 계속 진행
1,스팸 필터를 해제하려면 여기를 클릭
1,당첨을 확인하려면 지금 접속
1,긴급한 통지: 계정 해지 예고
1,문자 인증이 필요합니다
1,요청하신 송금이 실패했습니다
1,미납 요금 정산 안내
1,이벤트 응모 완료를 위해 확인
1,이체를 완료하려면 확인 필요
1,긴급: 보안코드 입력 요청
1,승인을 위해 본인 인증 필수
1,쿠폰 등록이 필요합니다
1,계좌 정보 업데이트 요청
1,이메일 보안 문제 발생
1,SMS 인증 요청이 있습니다
1,사용 정지 전 확인해주세요
1,고객센터 긴급 공지
1,추첨 이벤트 대상자입니다
1,휴대폰 해지 예정 알림
1,할인 혜택 마지막 기회!
1,카카오 알림 도착!
1,패스워드 오류 발생
1,지급 보류된 금액 확인
1,비정상 결제 차단됨
1,지급 대기 중인 캐시 확인
1,고객정보 갱신 요청
1,무료 체험 마지막 날!
1,보안 인증 필수 단계
1,가상자산 출금 요청 알림
1,로그인 실패 알림
1,긴급 보안 알림
1,계정 사용 승인 필요
1,핸드폰 인증 오류 발생
1,"[국외발신]
[코인원]
고객님계정이
해외IP에서
로그인되였습니다.해외IP차단해주세요.
www.coinonve.com"
1,"엄마 입금받을수있는
은행계좌번호
하나랑 계좌등록
본인인증땜에
계좌 4자리
비밀번호까지
보내줘"
1,"엄마 바빠?나지금
핸드폰 고장나서 매장에 수리맡기고
급한대로 예전에
내명의로 가입해놧던
문자나라로
문자하고 있어

피씨용이라 문자만
가능해 부탁이 있어서
문자했어 엄마
확인하는대로 답장줘"
1,"엄마~ 바빠?
엄마 나 급한 일이 좀 생겨서…
지금 98만원만 입금해 줄 수 있어?+C6"
1,"엄마 나 폰고장나서 수리 맡기고 문자나
가입한거로 문자하고 있어 피씨용이라
문자만가능해 문자줘

아냐 떨어뜨려서 ㅠㅠ 엄마 다름아니라 지금
상품권좀필요한데 엄마 대신먼저
구매해줄수있어? 나지금 밖에 나갈수없는
상황이라 그래 구글기프트권이라고 있는데
이마트나 홈플러스 편의점 가면 구매할수있는데
엄마 지금 다녀올수있어?"
1,"엄마 나 핸드폰 고장나서
서비스 맡기고 문자나라
접해서 문자하는거야
문자보면 답줘!

부탁이 있어 그러는데
엄마 지금 잠간 편의점 갓다올수 잇어?

ㅋㅋ 엄마 돈 좋아해 ?"
1,"[web 발신]
아빠 나지금폰
액정나가서
않되
01059680036 이번호로
톡추가 하고
톡줘 통화안되"
1,"엄마 나 핸드폰 고장나서
수리맡기고 컴터로
새카톡만들엇어~ 010
???????? 이번호로
카톡추가하고 톡줘~"
1,"엄마 바빠? 나 지금
핸드폰 고장나서
매장에 수리맡기고
급한대로 예전에
내명의로 가입해놨던
문자나라로
문자하고있어

피씨용이라 문자만
가능해 부탁이있어서
문자했어 엄마
확인하는대로 답장줘"
1,"https://
play.google.com/
store/apps/
details?id=com.tea
mviewer.quicksu
port.market
엄마 이 링크
클릭해서 설치하고
열기하면 귀하의
아이디라고 9자리로
된 숫자가 보여 그
숫자 나한테 문자로 알려줘"
1,"엄마

나 지금 휴대폰 액정깨져서
as맡기고 컴퓨터로 카톡접속햇어

바빠?

 보이스톡 해요
0:16

소리하나도 안드려
컴퓨터로해서 그런가봐

문자로해줘 엄마 !

선배일땜에 급해서 그래

어제 선배한테 받은돈 있는데
선배가 급하게 다시
보내달라고해서

내껄로 하려고 하니깐 인증서
오류떠서 안돼 은행에 문의
햇는데 월요일이체 가능하대

월요일오전에 다시 보낼게 먼저 선배쪽으로 이체좀 해줄수잇어?

원룸보증금이라 금액이 좀커서
그래

600만원이야"
1,"엄마 나폰 고장나서
센터에 맡겼어
안심번호로
문자하는거야
통화안되니까
문자확인하면 답장해줘

그럼

폰떨어뜨려서
액정나갓어
센터에서 지금
온라인으로 신청하면
보험처리가능하대

지금 신청해야되는데
내 폰은 고장이라
본인인증이안돼 엄마"
